name,service,latitude,longitude,address,zone,service_link,image
Zagos Sushi & Wok,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/zagos-sushi-%26-wok-av-alameda/QOtJjACJUO2L6T0FrU_pFw,
"Tempura, Japanese and Sushi,",Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/tempura-japanese-and-sushi-las-lilas/65QvobSWV9OgwnR_GiO5MA,
SUSHI BLESS PROVIDENCIA,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-bless-providencia/avSNYg3RR4C3TRHzC-9mZA,
Templo Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/templo-sushi-santiago/D0aPYebyUYuHPtaa388sqw,
Mayt'u Sushi Nikkei,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/maytu-sushi-nikkei/e_tfI23MRcmnIa3OIXJKCw,
Ora Nikkei,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/ora-nikkei/I5gnrLGJWUCJE9DxO-uKgg,
Tamashi Sushi Vitacura,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/tamashi-sushi-vitacura-santiago/ABZDALoUV5uKJlB4HG-XJg,
Kobo Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kobo-sushi-tobalaba/_EvfWcMTWO-zTpSgDgutAA,
Sushi Nice,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-nice/bfE221hNRHemJNbIggd4FA,
Gohan & sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/gohan-%26-sushi/YwKIeVgaQ5mgEdE3kAOOEA,
Supay Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/supay-sushi/K2bU_DPZWdq_fIf-HRw4Ww,
Hokkaido Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/hokkaido-sushi/0e7K2G83Wku_to1oi0500Q,
Korioto Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/korioto-sushi-santiago/BxqMnQF-SEaR-1TiGBri8A,
MITSUHA NIKKEI,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mitsuha-nikkei-santiago/uYYzFPd1SZChh_11Xmgtag,
Rai Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/rai-sushi/R10UzwegXlaX66XUeF9GUw,
Saloma Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/saloma-sushi/YSwqnT7JXAC3DuZsroLseA,
Sakai Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sakai-sushi-providencia/3r40m_WAXhm-_7_N0A6NQg,
Nikova Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/nikova-sushi-providencia/eQAt8wmXQEK-bBYOZXNvUw,
DMNG Boutique,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/dmng-boutique-vitacura/q-S75hSUQG2st0QIax3cXg,
Sushi MaKy,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-maky-victoria/h_aKUYB8UrSYA_f9dt6jhw,
Yosai Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/yosai-sushi/nokosGdXRn6foDtwswU8oQ,
Bar 9,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/bar-9-providencia/wcjnJpDlXfmKSCHV5a_quA,
Katori Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/katori-sushi/kz0UgeKZWiKQKOSnaJuAVA,
Kuzko Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/kuzko-sushi-santiago/NPDhKLhWW0yFpk8oX0YWpg,
Rollin’ Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/rollin-sushi/2ar9oTkWTIqiYop7tfxP9g,
Milano's Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/milanos-sushi-macul/m7OLNYbySKm93OVUN4aCkw,
Sushi MaKy Manuel Montt,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sushi-maky-manuel-montt-santiago/lvrpd9n-Udq9MwN4sMVDIA,
Sayonara Sushi- Providencia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/sayonara-sushi-providencia/6uKZ3RYxUOey-uYBw9P4kQ,
Crunchy Rolls Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/crunchy-rolls-sushi-vitacura/uO9c4uvJUvq7sP7BWEToRw,
Manhatan Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/manhatan-sushi-providencia/gWiuHr3ZWhKRd6iLFvXK-g,
Acevichado Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/acevichado-sushi/qPlpHZ-hXQiw5LZMzByi0Q,
Meru Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/meru-sushi-santiago-centro/EAGCCiMhWTG3X1ufKQuoEw,
Tatsu Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/tatsu-sushi/gLUQINMfTNSO_dJhXfB1bg,
ONE GUY,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/one-guy-santiago/X1t-ecS9UW-f2STo2ZlCuQ,
Burger King Vegetal®,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/burger-king-vegetal-suecia/vPn1qkWYXcCNL1v5DfiWTw,
Burger King®,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/burger-king-suecia/WrSd9xI-TTOQOywY1X80Dw,
Burgos Burger Bar,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/burgos-burger-bar-santiago/iav1oN8DRzSYTR3UbUbb7Q,
La Casa de Las Papas,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/la-casa-de-las-papas-providencia-santiago/1opGCdq4XGmi4m97R9sJEA,
Tropera Drugstore,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/tropera-drugstore/9CSXjFy7XO2wD4GLhgMKoQ,
Muu Grill,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/muu-grill-panoramico/F61NPwMPUaqZ7_W6YyA8_Q,
Carl's Jr.,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/carls-jr-providencia/th8B6WWqQo2h5wKFZwfHsg,
Mr. Jack,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/mr-jack-bucarest/ThMkPQ2lXmS7dqb-TYO8bw,
Just Burger,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/just-burger-providencia/IzjJNAYJU5WHbK5VZwwh7A,
Ekos Fusion Providencia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/ekos-fusion-providencia/Kpr13pcdTrWMYKgqiLkN1w,
El Vegan,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/el-vegan/iip_KI9rXZq8oKKaGB6ybw,
Frank's,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/franks-bucarest/WgFV1UeeWjisYwbCTbNV5Q,
RGB burgers,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/rgb-burgers-providencia/XVjspbZVQ8CGCyciEfTW9A,
Dominó,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/domino-guardia-vieja/XgpM3stUU8WSazjPx2AiFg,
Piso Uno Providencia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/piso-uno-providencia/WUsTCH2EUByF8f7tmxkG8Q,
THE TWINS BURGERS,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/the-twins-burgers-santiago/UxwklLruUv-bB53pADOYOQ,
Jutsu Sushi,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/jutsu-sushi/oJD-oDD9W2eyQ4-K5-AfSg,
Local Burger,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/local-burger-providencia/TtnSwUVCWGeSt17vUbS7Ew,
Hamburguesa Parrillera- Providencia,Uber Eats,,,,Providencia,https.www.ubereats.com/cl-en/store/hamburguesa-parrillera-providencia/wOgwlaeXU7GwGuuAjPilag,
